,pretty_formula,spacegroup,material_id,e_above_hull,band_gap,elements,tolerance
0,Cs2EuAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113566,0.0,0.0,"['Ag', 'Cl', 'Cs', 'Eu']","[4.138009346270046, 4.148589299066916]"
1,Cs2EuCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113361,0.0,0.0,"['Cl', 'Cs', 'Cu', 'Eu']","[4.035340480566667, 4.012561235066563]"
2,Cs2GdAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113592,0.0,0.0,"['Ag', 'Cl', 'Cs', 'Gd']",[4.128220156587014]
3,Cs2KEuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-579605,0.0,0.0,"['Cl', 'Cs', 'Eu', 'K']",[4.43765440720712]
4,Cs2LiEuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113515,0.0,0.0,"['Cl', 'Cs', 'Eu', 'Li']",[4.040036599407414]
5,Cs2NaEuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112989,0.0,0.0,"['Cl', 'Cs', 'Eu', 'Na']",[4.046740008903258]
6,Cs2RbEuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1112519,0.0,0.0,"['Cl', 'Cs', 'Eu', 'Rb']",[6.816628807115791]
7,Cs2TlAgBr6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113444,0.0,0.0,"['Ag', 'Br', 'Cs', 'Tl']","[4.227131295808038, 4.316466481162447]"
8,Rb2EuAgCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113784,0.0,0.0,"['Ag', 'Cl', 'Eu', 'Rb']","[4.6075818864109035, 4.631110486318718]"
9,Rb2EuCuCl6,"{'symprec': 0.1, 'source': 'spglib', 'symbol': 'Fm-3m', 'number': 225, 'point_group': 'm-3m', 'crystal_system': 'cubic', 'hall': '-F 4 2 3'}",mp-1113297,0.0,0.0,"['Cl', 'Cu', 'Eu', 'Rb']","[4.206594707104688, 4.2640276965221275]"
