#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 279 160
# Band-Index    1
   0.00000    -69.176558    -69.200997
   0.01331    -69.176551    -69.200994
   0.02663    -69.176551    -69.200995
   0.03994    -69.176558    -69.200998
   0.05326    -69.176560    -69.201001
   0.06657    -69.176553    -69.201008
   0.07989    -69.176566    -69.201025
   0.09320    -69.176582    -69.201038
   0.10652    -69.176600    -69.201062
   0.11983    -69.176606    -69.201073
   0.13315    -69.176600    -69.201062
   0.14646    -69.176610    -69.201083
   0.15978    -69.176611    -69.201081
   0.17309    -69.176604    -69.201069
   0.18641    -69.176600    -69.201051
   0.19972    -69.176585    -69.201019
   0.21304    -69.176585    -69.201017
   0.22635    -69.176581    -69.201019
   0.23967    -69.176580    -69.201026
   0.25298    -69.176585    -69.201031
   0.26630    -69.176578    -69.201022
   0.27961    -69.176584    -69.201021
   0.29292    -69.176588    -69.201032
   0.30624    -69.176575    -69.201011
   0.31955    -69.176573    -69.201018
   0.33287    -69.176571    -69.201012
   0.34618    -69.176562    -69.200994
   0.35950    -69.176572    -69.201014
   0.37281    -69.176580    -69.201030
   0.38613    -69.176572    -69.201018
   0.39944    -69.176564    -69.201015
   0.41276    -69.176547    -69.200996
   0.42607    -69.176539    -69.200966
   0.43939    -69.176540    -69.200981
   0.45270    -69.176548    -69.201006
   0.46602    -69.176576    -69.201034
   0.47933    -69.176580    -69.201040
   0.49265    -69.176577    -69.201038
   0.50596    -69.176590    -69.201057
   0.51928    -69.176592    -69.201070
   0.53259    -69.176597    -69.201070
   0.54591    -69.176590    -69.201064
   0.55922    -69.176590    -69.201061
   0.57254    -69.176587    -69.201064
   0.57254    -69.176587    -69.201064
   0.59428    -69.176574    -69.201054
   0.61603    -69.176587    -69.201067
   0.63778    -69.176584    -69.201059
   0.65953    -69.176589    -69.201058
   0.65953    -69.176589    -69.201058
   0.67762    -69.176591    -69.201058
   0.69572    -69.176600    -69.201066
   0.71382    -69.176602    -69.201071
   0.73192    -69.176597    -69.201041
   0.75001    -69.176595    -69.201043
   0.76811    -69.176582    -69.201037
   0.78621    -69.176578    -69.201031
   0.80430    -69.176577    -69.201027
   0.82240    -69.176573    -69.201020
   0.84050    -69.176572    -69.201029
   0.85860    -69.176573    -69.201042
   0.87669    -69.176578    -69.201040
   0.89479    -69.176575    -69.201037
   0.91289    -69.176588    -69.201047
   0.93098    -69.176595    -69.201052
   0.94908    -69.176588    -69.201048
   0.96718    -69.176601    -69.201052
   0.98528    -69.176592    -69.201045
   1.00337    -69.176584    -69.201041
   1.02147    -69.176592    -69.201052
   1.03957    -69.176588    -69.201039
   1.05766    -69.176580    -69.201040
   1.07576    -69.176583    -69.201050
   1.09386    -69.176581    -69.201043
   1.11195    -69.176574    -69.201028
   1.13005    -69.176568    -69.201026
   1.14815    -69.176557    -69.201007
   1.16625    -69.176555    -69.201008
   1.18434    -69.176555    -69.201009
   1.20244    -69.176550    -69.200992
   1.22054    -69.176555    -69.200999
   1.23863    -69.176558    -69.200997
   1.23863    -69.176558    -69.200997
   1.25460    -69.176555    -69.201004
   1.27056    -69.176542    -69.200998
   1.28652    -69.176544    -69.201006
   1.30248    -69.176534    -69.201001
   1.31845    -69.176560    -69.201035
   1.33441    -69.176557    -69.201028
   1.35037    -69.176567    -69.201025
   1.36633    -69.176579    -69.201026
   1.38230    -69.176578    -69.201033
   1.39826    -69.176576    -69.201030
   1.41422    -69.176583    -69.201031
   1.43018    -69.176561    -69.201018
   1.44615    -69.176569    -69.201018
   1.46211    -69.176589    -69.201028
   1.47807    -69.176574    -69.201015
   1.49403    -69.176568    -69.201011
   1.51000    -69.176559    -69.201017
   1.52596    -69.176554    -69.201007
   1.52596    -69.176554    -69.201007
   1.54406    -69.176555    -69.201006
   1.56215    -69.176572    -69.201020
   1.58025    -69.176576    -69.201023
   1.59835    -69.176565    -69.201010
   1.61644    -69.176568    -69.201013
   1.63454    -69.176560    -69.200998
   1.65264    -69.176554    -69.200996
   1.67074    -69.176551    -69.200993
   1.68883    -69.176549    -69.200991
   1.70693    -69.176543    -69.200989
   1.72503    -69.176539    -69.200983
   1.74312    -69.176550    -69.200995
   1.76122    -69.176550    -69.200993
   1.77932    -69.176550    -69.200990
   1.79741    -69.176552    -69.200999
   1.81551    -69.176553    -69.200998
   1.83361    -69.176549    -69.200993
   1.85171    -69.176550    -69.200997
   1.86980    -69.176546    -69.200993
   1.88790    -69.176551    -69.200993
   1.90600    -69.176545    -69.200990
   1.92409    -69.176540    -69.200988
   1.94219    -69.176526    -69.200969
   1.96029    -69.176526    -69.200964
   1.97839    -69.176529    -69.200968
   1.99648    -69.176549    -69.200994
   2.01458    -69.176549    -69.200994
   2.03268    -69.176562    -69.201012
