#K-Path(1/A)         Spin-Up(eV)   Spin-down(eV)
# NKPTS & NBANDS: 308  80
# Band-Index    1
   0.00000    -25.126962    -25.126962
   0.01848    -25.126960    -25.126960
   0.03696    -25.126957    -25.126957
   0.05544    -25.126954    -25.126954
   0.07392    -25.126958    -25.126958
   0.09240    -25.126960    -25.126960
   0.11088    -25.126964    -25.126964
   0.12935    -25.126962    -25.126962
   0.14783    -25.126965    -25.126965
   0.16631    -25.126959    -25.126959
   0.18479    -25.126957    -25.126957
   0.20327    -25.126958    -25.126958
   0.22175    -25.126956    -25.126956
   0.24023    -25.126955    -25.126955
   0.25871    -25.126951    -25.126951
   0.27719    -25.126952    -25.126952
   0.29567    -25.126954    -25.126954
   0.31415    -25.126957    -25.126957
   0.33263    -25.126954    -25.126954
   0.35110    -25.126957    -25.126957
   0.36958    -25.126958    -25.126958
   0.38806    -25.126960    -25.126960
   0.40654    -25.126961    -25.126961
   0.42502    -25.126958    -25.126958
   0.44350    -25.126957    -25.126956
   0.46198    -25.126961    -25.126961
   0.48046    -25.126954    -25.126954
   0.49894    -25.126952    -25.126952
   0.51742    -25.126955    -25.126955
   0.53590    -25.126953    -25.126953
   0.55438    -25.126955    -25.126955
   0.55438    -25.126955    -25.126955
   0.57346    -25.126957    -25.126957
   0.59255    -25.126962    -25.126962
   0.61164    -25.126961    -25.126961
   0.63073    -25.126954    -25.126954
   0.64981    -25.126953    -25.126953
   0.66890    -25.126949    -25.126949
   0.68799    -25.126951    -25.126951
   0.70708    -25.126953    -25.126953
   0.72617    -25.126950    -25.126950
   0.74525    -25.126951    -25.126951
   0.76434    -25.126950    -25.126950
   0.78343    -25.126949    -25.126949
   0.80252    -25.126946    -25.126946
   0.82160    -25.126956    -25.126956
   0.84069    -25.126955    -25.126955
   0.85978    -25.126957    -25.126957
   0.87887    -25.126954    -25.126954
   0.89795    -25.126956    -25.126956
   0.89795    -25.126956    -25.126956
   0.90762    -25.126954    -25.126954
   0.91729    -25.126956    -25.126955
   0.92696    -25.126956    -25.126956
   0.93663    -25.126955    -25.126955
   0.94630    -25.126958    -25.126958
   0.95596    -25.126958    -25.126958
   0.96563    -25.126958    -25.126958
   0.97530    -25.126956    -25.126956
   0.98497    -25.126956    -25.126956
   0.99464    -25.126956    -25.126956
   1.00430    -25.126954    -25.126954
   1.01397    -25.126955    -25.126955
   1.02364    -25.126953    -25.126953
   1.03331    -25.126957    -25.126957
   1.04298    -25.126957    -25.126957
   1.05265    -25.126958    -25.126958
   1.06231    -25.126959    -25.126959
   1.07198    -25.126958    -25.126958
   1.08165    -25.126960    -25.126960
   1.09132    -25.126961    -25.126961
   1.10099    -25.126962    -25.126962
   1.11066    -25.126961    -25.126961
   1.12032    -25.126961    -25.126961
   1.12999    -25.126961    -25.126961
   1.13966    -25.126955    -25.126955
   1.14933    -25.126955    -25.126955
   1.15900    -25.126961    -25.126961
   1.16866    -25.126962    -25.126962
   1.17833    -25.126962    -25.126962
   1.18800    -25.126962    -25.126962
   1.19767    -25.126958    -25.126958
   1.20734    -25.126957    -25.126957
   1.21701    -25.126957    -25.126957
   1.22667    -25.126960    -25.126959
   1.23634    -25.126960    -25.126960
   1.24601    -25.126958    -25.126958
   1.25568    -25.126958    -25.126958
   1.26535    -25.126956    -25.126956
   1.27502    -25.126955    -25.126955
   1.28468    -25.126958    -25.126958
   1.29435    -25.126959    -25.126959
   1.30402    -25.126960    -25.126960
   1.31369    -25.126961    -25.126961
   1.32336    -25.126961    -25.126960
   1.33302    -25.126962    -25.126962
   1.33302    -25.126962    -25.126962
   1.34590    -25.126961    -25.126961
   1.35878    -25.126957    -25.126957
   1.37165    -25.126959    -25.126959
   1.38453    -25.126957    -25.126957
   1.39741    -25.126959    -25.126959
   1.41028    -25.126964    -25.126964
   1.42316    -25.126963    -25.126963
   1.43604    -25.126969    -25.126969
   1.44891    -25.126968    -25.126968
   1.46179    -25.126968    -25.126968
   1.47466    -25.126969    -25.126969
   1.48754    -25.126968    -25.126968
   1.50042    -25.126968    -25.126968
   1.51329    -25.126967    -25.126967
   1.52617    -25.126967    -25.126967
   1.53905    -25.126966    -25.126966
   1.55192    -25.126958    -25.126958
   1.56480    -25.126958    -25.126958
   1.57768    -25.126954    -25.126954
   1.59055    -25.126955    -25.126955
   1.60343    -25.126957    -25.126957
   1.61630    -25.126954    -25.126954
   1.62918    -25.126954    -25.126954
   1.64206    -25.126953    -25.126953
   1.65493    -25.126957    -25.126957
   1.66781    -25.126956    -25.126956
   1.68069    -25.126956    -25.126956
   1.69356    -25.126957    -25.126957
   1.70644    -25.126959    -25.126959
   1.71932    -25.126960    -25.126960
   1.73219    -25.126963    -25.126963
   1.74507    -25.126963    -25.126963
   1.75794    -25.126960    -25.126960
   1.77082    -25.126959    -25.126959
   1.78370    -25.126957    -25.126957
   1.79657    -25.126961    -25.126961
   1.80945    -25.126963    -25.126963
   1.82233    -25.126959    -25.126959
   1.83520    -25.126958    -25.126957
   1.84808    -25.126963    -25.126963
   1.86096    -25.126962    -25.126962
   1.87383    -25.126963    -25.126963
   1.88671    -25.126968    -25.126968
   1.89958    -25.126967    -25.126967
   1.91246    -25.126969    -25.126969
   1.92534    -25.126971    -25.126971
   1.93821    -25.126971    -25.126971
   1.95109    -25.126972    -25.126972
   1.96397    -25.126971    -25.126971
   1.96397    -25.126971    -25.126971
   1.98327    -25.126970    -25.126970
   2.00258    -25.126969    -25.126969
   2.02188    -25.126970    -25.126970
   2.04119    -25.126968    -25.126968
   2.06049    -25.126971    -25.126971
   2.07980    -25.126974    -25.126974
   2.09910    -25.126975    -25.126975
   2.11841    -25.126974    -25.126974
   2.13772    -25.126973    -25.126973
   2.15702    -25.126973    -25.126973
   2.17633    -25.126976    -25.126976
   2.19563    -25.126980    -25.126979
   2.21494    -25.126979    -25.126979
   2.23424    -25.126978    -25.126978
   2.25355    -25.126981    -25.126981
   2.27285    -25.126981    -25.126981
   2.29216    -25.126980    -25.126980
   2.31146    -25.126985    -25.126985
   2.33077    -25.126985    -25.126985
   2.35008    -25.126988    -25.126987
   2.35008    -25.126988    -25.126987
   2.36903    -25.126988    -25.126988
   2.38799    -25.126991    -25.126991
   2.40695    -25.126991    -25.126991
   2.42590    -25.126990    -25.126990
   2.44486    -25.126991    -25.126991
   2.46382    -25.126994    -25.126994
   2.48278    -25.126992    -25.126992
   2.50173    -25.126990    -25.126990
   2.52069    -25.126993    -25.126993
   2.53965    -25.126993    -25.126993
   2.55860    -25.126992    -25.126992
   2.57756    -25.126993    -25.126993
   2.59652    -25.126986    -25.126985
   2.61548    -25.126988    -25.126988
   2.63443    -25.126984    -25.126984
   2.65339    -25.126980    -25.126980
   2.67235    -25.126978    -25.126978
   2.69131    -25.126977    -25.126977
   2.71026    -25.126968    -25.126968
   2.72922    -25.126964    -25.126964
   2.74818    -25.126959    -25.126959
   2.76713    -25.126961    -25.126961
   2.78609    -25.126958    -25.126958
   2.80505    -25.126960    -25.126960
   2.82401    -25.126959    -25.126959
   2.84296    -25.126958    -25.126958
   2.86192    -25.126962    -25.126962
   2.86192    -25.126962    -25.126962
   2.88099    -25.126960    -25.126959
   2.90007    -25.126961    -25.126961
   2.91914    -25.126955    -25.126955
   2.93821    -25.126955    -25.126955
   2.95728    -25.126955    -25.126955
   2.97635    -25.126957    -25.126956
   2.99543    -25.126959    -25.126959
   3.01450    -25.126960    -25.126960
   3.03357    -25.126959    -25.126959
   3.05264    -25.126959    -25.126959
   3.07172    -25.126965    -25.126965
   3.09079    -25.126970    -25.126970
   3.10986    -25.126973    -25.126973
   3.12893    -25.126969    -25.126969
   3.14801    -25.126970    -25.126970
   3.16708    -25.126972    -25.126971
   3.18615    -25.126971    -25.126971
   3.20522    -25.126976    -25.126976
   3.22429    -25.126975    -25.126975
   3.24337    -25.126971    -25.126971
   3.26244    -25.126969    -25.126969
   3.28151    -25.126966    -25.126966
   3.30058    -25.126965    -25.126965
   3.31966    -25.126965    -25.126965
   3.33873    -25.126960    -25.126960
   3.35780    -25.126957    -25.126957
   3.37687    -25.126958    -25.126958
   3.39595    -25.126962    -25.126962
   3.39595    -25.126994    -25.126994
   3.41062    -25.126993    -25.126993
   3.42529    -25.126994    -25.126994
   3.43996    -25.126995    -25.126995
   3.45463    -25.126997    -25.126997
   3.46930    -25.126993    -25.126993
