element1,element2,energy
Tm,Cu,3.3403
Cd,Cu,0.0
Na,Sb,3.3978
Ag,Y,4.382
Cd,Mn,2.5333
Sc,Tl,0.0
Al,Ag,2.8537
Mo,Rb,2.5454
Ag,Sb,1.1017000000000001
Ta,Au,0.4857
Ag,Mo,1.5402
Li,Y,5.441000000000001
Na,Gd,5.0572
Cd,Cr,0.0
Y,Pd,0.7541
Pd,Pt,0.0
Ga,Ag,1.4734999999999998
Li,Lu,6.2932
Ag,V,0.0
La,Cu,2.9353
Ge,Pt,0.0
Tl,Sb,2.1999
Ba,Cr,2.5591
K,Sc,3.7562
Ti,Hg,0.0
Ba,V,4.1606
Dy,Cu,3.4207
Pt,V,1.9899
Sc,Au,3.4579
Ca,Co,0.0
Tm,Ag,4.1627
Fe,Pb,3.0192000000000005
Rb,As,3.1762
Ca,Hg,3.1224999999999996
Zn,Co,3.4574
Sn,V,3.4659999999999997
Sn,Pb,2.0297
Zn,Cd,0.0
Tl,As,1.2418
In,Au,2.6171
K,Mo,2.4794
Pb,Ti,2.2632000000000003
Sm,Cu,3.4944999999999995
Na,Yb,6.1813
K,Tl,2.8878
Ag,Sc,3.9078999999999997
Na,Ta,0.0
Cd,Sn,2.134
Hg,Sb,0.0
Pd,Tl,0.0
Rb,Y,5.8727
K,Mo,2.4839
Cr,Pt,1.8475
Li,Bi,4.062
Ca,Pb,4.892
Ni,Sr,3.7673
Fe,Sr,0.0
Fe,K,0.0
Er,Ag,4.1845
K,Mn,0.29279999999999995
Ag,Au,0.6519999999999999
Na,Ga,3.4090000000000003
Fe,Mn,0.0
As,Au,1.3875000000000002
Na,Ru,0.0
Ni,Sn,1.6860000000000002
Ca,Cd,4.7201
Na,Mo,2.3928000000000003
Fe,Na,0.0
Sc,Ag,3.9080999999999997
Co,Sn,2.0503
Ca,Fe,0.0
Co,Hg,0.0
Li,Tm,6.179799999999999
Ba,Sn,0.0
Tb,Ag,4.2129
Hg,As,0.0
Al,K,5.4838000000000005
In,Na,3.7376
Mg,Pd,2.0661
Na,Y,5.6484000000000005
Rb,In,4.3847000000000005
Tl,As,1.8306
Tl,In,3.1431999999999998
Ce,Cu,3.3059
Rh,Au,1.6216999999999997
K,Pd,0.5403000000000001
Rb,As,3.7843999999999998
Na,U,1.7046000000000001
In,Cu,0.5684999999999998
Ag,Pd,0.0
Ge,Ti,2.2292999999999994
Fe,Sn,0.0
Na,Eu,6.068499999999999
Ag,Mn,0.0
Na,La,5.3950000000000005
Ca,Pd,1.5132999999999999
Cr,Fe,0.0
Ag,In,1.5548
Cd,Ge,2.1323
Ag,Bi,2.1652
Ba,Pt,2.4527
Na,Tb,6.1403
Eu,Cu,3.4403
Hg,Sn,0.7104999999999999
Na,Nd,5.8803
Na,Rh,1.6468
Na,Bi,4.1977
Pb,Zn,3.1213
Cu,Sn,0.0
Na,In,3.7455000000000003
Mn,Rb,0.7674000000000001
Ba,Pd,2.1378000000000004
Sr,Pb,4.8450999999999995
Na,Tm,6.191000000000001
Cd,Sr,4.9033
Na,Ti,0.0
Mg,Ti,0.0
Au,Bi,2.2205
Ga,Au,2.7531
K,Sb,3.6813000000000002
Li,Ta,0.0
Bi,Hg,0.0
Pd,Sr,2.0796
Rb,Tl,2.9124
Ba,Ge,0.0
Rb,Sc,5.0886
Li,Gd,4.869999999999999
Na,In,2.4560999999999997
Li,Dy,6.030600000000001
Lu,Ag,4.1304
Ca,Ti,0.0
Ag,Sb,1.6135000000000002
K,Nb,0.5352000000000001
Al,Au,4.0685
K,Y,5.8694999999999995
Sr,Ca,6.0927
Na,Dy,6.168699999999999
Sr,Zn,5.05
Ag,Co,0.0
Ag,Tl,0.0
Li,Tl,2.0463
Rb,Al,4.0696
Ba,Ni,3.5016
Gd,Ag,3.7988
In,Hg,0.0
Ag,Sb,1.6102
Na,Sc,4.850700000000001
Co,K,0.0
Hg,Mg,2.2187
Rb,Ga,4.1821
Au,Ni,0.0
Ca,Mn,5.2501
Li,Sm,5.782
In,Au,0.0
Pb,Pd,0.0
K,Cr,2.0972999999999997
Er,Cu,3.3665999999999996
Tl,As,1.6692
Rb,B,5.154999999999999
Al,Tl,4.3097
Dy,Ag,4.2097
Ge,Hg,0.7286000000000001
Ca,Ge,4.1234
Ba,Cd,5.0154
Cr,Na,1.8954
Ba,Ca,6.0197
Rb,Al,5.4898
Li,Ce,5.6563
Bi,K,4.503
Pr,Cu,3.3392000000000004
Ba,Cu,1.8567
Na,Ce,5.8458
Sb,Au,0.3954
Hg,Zn,0.0
Sr,Ti,0.0
K,Ga,4.0256
Co,Cr,0.0
Hg,Pd,1.3024
Bi,Na,4.2187
Rb,Sb,3.6719
Mg,Sn,3.4737999999999998
Li,Sb,3.2771999999999997
Ge,Pb,2.3444
Au,Cr,1.6284
Pt,Sr,2.4495999999999998
Mn,Au,0.6807000000000001
Au,Rb,0.0
Ni,Tl,0.0
Cd,V,2.5679999999999996
Y,Cu,3.3776
Hg,Sb,0.0
Cu,Pt,0.0
Sn,Ti,0.0
Hg,Sb,0.0
In,Cu,1.3438
Na,Ni,0.0
Al,Rb,5.490600000000001
Ca,Pt,2.4678
Ir,Na,1.9037
In,Ag,1.5590999999999997
Ti,V,3.0248999999999997
Ir,K,2.2283
Cu,Bi,1.5592000000000001
Cd,Pt,1.9378000000000002
Na,Y,5.5789
Hg,Ru,0.0
Hg,Pt,0.30899999999999994
Sr,Be,5.5112000000000005
Sc,Ag,3.3712
Na,Cr,1.9104
Na,Lu,6.2236
Ca,Zn,4.6281
Pt,Zn,2.5044999999999997
Na,Tl,2.3175
Hg,Pd,1.2488000000000001
Cr,Tl,0.0
Sr,Cr,2.4701
Li,Er,6.1103000000000005
In,K,4.3374999999999995
Au,Pd,0.0
Mn,Ni,2.5277
V,Zn,2.7874999999999996
Ti,Zn,0.0
Na,Ho,6.1779
Li,Pr,5.66
K,In,4.3123000000000005
Cr,V,2.0864000000000003
Sr,Ge,4.128699999999999
Li,Eu,5.8926
Sc,Cu,2.8813999999999993
Au,Co,0.0
Cu,Sb,1.2024
Sc,Tl,4.3101
Pd,Sn,0.0
Hg,Pb,1.7523999999999997
Ga,Tl,2.8614
Li,La,5.2309
K,Rh,1.9484
Cr,Mn,1.7946000000000002
K,B,5.0161
Ag,Ti,0.0
Au,Ru,0.5695000000000001
Cd,Pb,3.0776
Zn,Cr,1.4377999999999997
Na,Er,6.1953000000000005
Pt,Sn,0.0
Li,Tb,5.9783
Ge,V,3.3411
Pd,Rb,0.7756000000000001
Eu,Ag,4.1962
Ba,Be,5.0822
Na,Sc,4.8662
As,Na,3.374
Ca,Mg,6.0992999999999995
Sm,Ag,4.2241
Rb,Nb,0.4946999999999997
Mn,Ti,0.0
Mg,Pb,4.3472
Cd,Hg,0.0
Sn,Ge,2.6616
Li,Nb,0.0
Hg,Sr,3.2605
Rh,Tl,1.7854
Li,In,3.5353999999999997
Tl,B,4.058
K,Ga,2.6246
Na,Pr,5.8455
Rb,As,3.6958
Co,Ge,2.8506
Ba,Mg,5.8373
Tl,V,0.0
Tl,Hg,0.0
Ti,Au,2.6378999999999997
Al,Tl,4.309799999999999
Ag,Ta,0.0
Na,Nb,0.36970000000000036
Rb,Ga,4.1584
Mg,Pt,2.4441
Cd,Ni,0.0
Hg,Sc,0.0
Ta,Cu,0.44030000000000014
Bi,Li,4.0678
Ca,Cr,2.4034
Sn,Zn,2.3225
Li,Sb,3.2925000000000004
Al,Na,4.9021
Ca,V,4.3688
Na,Sm,5.9604
Sr,Sn,4.0203
Na,Pd,0.0
Cd,Pd,0.9933000000000001
In,Li,3.5238
Sr,V,4.3111
Rb,Rh,1.7125
Ga,Na,3.3997
Ni,Rb,0.2703000000000002
Sc,Hg,0.0
Au,Tl,0.0
Mn,Na,0.4478
Na,V,0.0
K,Al,5.493600000000001
Co,Mn,0.0
Mn,Sr,5.208799999999999
Hg,In,0.0
Tl,Ga,2.8607
Li,Nd,5.6979999999999995
K,As,3.7432000000000003
Pd,Zn,1.4197000000000002
K,Ti,0.0471
Cu,Au,0.0
Tb,Cu,3.4308
Li,Pd,0.0
Ir,Tl,1.9250000000000003
K,As,3.7148
Mn,Tl,0.0
Mg,Mn,4.3399
Mn,V,3.5936000000000003
Ag,Ni,0.0
Li,Sc,4.6917
Au,Sb,1.5016
