,material_id,symbols,spin_polarized,bandgap,fermi_energy,is_metal,space_group_number
0,3_scan/mp-1112615,"['Cs', 'Cs', 'Tm', 'Cu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 3.3403, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",1.8005804,False,225
1,3_scan/mp-1300166,"['Cd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Cu']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",1.15396491,True,1
2,3_scan/mp-1300205,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Na', 'Sb']",True,"{'direct': False, 'energy': 3.3978, 'transition': '(-0.250,0.500,0.250)-(0.000,0.500,0.000)'}",0.66504015,False,1
3,3_scan/mp-1300069,"['Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Y']",True,"{'direct': False, 'energy': 4.382, 'transition': '(0.500,0.000,0.000)-(0.500,0.500,0.500)'}",0.50510171,False,1
4,3_scan/mp-1300162,"['Cd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Mn']",True,"{'direct': True, 'energy': 2.5333, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",0.49185182,False,1
5,3_scan/mp-1112000,"['Cs', 'Cs', 'Sc', 'Tl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",False,"{'energy': 0.0, 'direct': False, 'transition': None}",-0.19791533,True,166
6,3_scan/mp-1113621,"['Cs', 'Cs', 'Al', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 2.8537, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",0.90354796,False,225
7,3_scan/mp-1300056,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Mo', 'Rb']",True,"{'direct': True, 'energy': 2.5454, 'transition': '(0.000,0.500,0.500)-(0.000,0.500,0.500)'}",1.03059477,False,1
8,3_scan/mp-1112943,"['Cs', 'Cs', 'Ag', 'Sb', 'Br', 'Br', 'Br', 'Br', 'Br', 'Br']",True,"{'direct': False, 'energy': 1.1017000000000001, 'transition': '(0.500,0.500,0.000)-(0.500,0.000,0.000)'}",1.40315424,False,225
9,3_scan/mp-1300076,"['Cs', 'Cs', 'Cs', 'Cs', 'Ta', 'Ta', 'Au', 'Au', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 0.4857, 'transition': '(-0.500,0.500,0.500)-(0.000,0.000,0.500)'}",1.12788646,False,1
10,3_scan/mp-1113480,"['Cs', 'Cs', 'Ag', 'Mo', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 1.5402, 'transition': '(0.500,0.500,0.000)-(0.500,0.500,0.000)'}",2.08897286,False,225
11,3_scan/mp-1300301,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Li', 'Y']",True,"{'direct': True, 'energy': 5.441000000000001, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.57143823,False,1
12,3_scan/mp-1112657,"['Cs', 'Cs', 'Na', 'Gd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 5.0572, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-1.06021252,False,225
13,3_scan/mp-1300298,"['Cd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cr', 'Cs', 'Cs']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",2.46346679,True,1
14,3_scan/mp-1300099,"['Cs', 'Cs', 'Cs', 'Cs', 'Y', 'Y', 'Pd', 'Pd', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 0.7541, 'transition': '(0.000,0.464,0.500)-(0.000,0.000,0.000)'}",0.48255393,False,1
15,3_scan/mp-1300293,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Pd', 'Pt']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",2.73977567,True,1
16,3_scan/mp-1113623,"['Cs', 'Cs', 'Ga', 'Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 1.4734999999999998, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",0.98047573,False,225
17,3_scan/mp-570379,"['Cs', 'Cs', 'Li', 'Lu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': True, 'energy': 6.2932, 'transition': '(0.000,0.000,0.000)-(0.000,0.000,0.000)'}",-0.58496307,False,225
18,3_scan/mp-1300250,"['Ag', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'V']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",0.82648787,True,1
19,3_scan/mp-1113523,"['Cs', 'Cs', 'La', 'Cu', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']",True,"{'direct': False, 'energy': 2.9353, 'transition': '(0.500,0.000,0.000)-(0.000,0.000,0.000)'}",2.33992923,False,225
20,3_scan/mp-1300173,"['Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cs', 'Cs', 'Ge', 'Pt']",True,"{'energy': 0.0, 'direct': False, 'transition': None}",1.13313275,True,12
